나는 하루에 한 번 산책을 가,I go for a walk once a day
내 오빠는 일주일에 두 번 운동을 해,my older brother works out twice a week.
Bob은 탄산음려를 절대 마시지 않아.,bob never drinks soft drinks
그는 시험 전에 가끔 에너지 드링크 한캔을 마셔,he sometimes drinks a can of energy drink before the test
june은 하루에 두 번 피아노를 는 것을 너무 기뻐해.,june is so glad to play piano twice a week.
나는 검진을 받기 위해 일년에 두 번 병원에 가.,i go to the hospital twice a year to get a check-up
이 아파크가 제가 말했던 집입니다.,this is the apartment that i told you about
흠 거실이 전에 봤던 집의 것보다 더 작네요.,hmm the living room is smaller then the last one
그래도 방들은 깨끗하고 잘 유지되어 있어요,but the rooms are clean and maintained well.
잠깐만요. 저기 벽에 금간 거 아니에요?,"wait, isn't that a crack on the wall"
아 이사 오기 전에 수리해둘게요,"oh, we will fix it before you move in"
알았어요 지하철역은 근처에 있나요?,okay is there a subway station nearby?
아니요 하지만 버스정류장이 건물 바로 옆에 있어요.,"no, but there is a bus stop right next to this building"
나쁘진 않지만 한집만 더 보여주시겠어요?,"not bad, but could you show me one more?"
물론이죠.,no problem.
통학 버스는 30분마다 출발해,the school bus leaves every 30 minutea
지하철이 이제 곧 올거야. 5분 마다 와,the subway will be here in a minute. it comes every 5 minutes
너의 아버지는 보통 직장에서 신문을 읽으시니?,does your dad usually read a newdpaper?
응 그는 보통 오늘의 경제에 대해 읽으셔,"yes, he usually reads a newspaper about today's economy."
그들은 얼마나 자주 휴가를 떠나니?,how often do they go on a vacation?
그들은 일 년에 네 번 휴가를 떠나,they go on a vacation four times a year.
너는 널마나 자주 친구들이랑 놀러 나가니?,how often do you go out with your friends?
나는 거의 매일 저녁 놀러 나가,i go out almost every evening.
얼마나 자주 호틸 셔틀버스가 오니?,how often does the hotel shuttle bus come?
20분 마다 와. 이제 곧 올거야,it comes every 20 minutes. it will be here soon
런던으로 가는 비행은 얼마나 자주 있니?,how often are there flights to lundon
5시간 마다 있어.,there is a flight every 5 hours
너는 대만인이야 너는 중국어를 해,"You are Taiwanese, you speak Chinese."
대만  사람들은 중국어를 해.,Taiwanese people speak chinese.
그녀는 영국인이야. 그녀는 영어를 해.,she is British. she speaks English.
영국 사람들은 영어를 해,British people speak English
너는 독일어를 할 줄 아니? ,Can you speak German?
응 나는 독일어를 잘 해.,"Yes, I can speak German well."
